br1	br2	counter	inner	outer	nop	nop2	task_clock	context_switches	cpu_migrations	page_faults	cycles	instructions	branches	branch_misses	L1_dcache_loads	L1_dcache_load_misses	LLC_loads	LLC_load_misses	L1_icache_loads	L1_icache_load_misses	dTLB_loads	dTLB_load_misses	iTLB_loads	iTLB_load_misses	L1_dcache_prefetches	L1_dcache_prefetch_misses
1920	1932	2146959360	10	3276	3	1	2992.04	0	0	46	5368933650	7299907742	NA	3710	50581	2831	NA	NA	4293333938	2862	NA	0	NA	10	NA	NA
1920	1936	2146959360	10	3276	3	2	3349.98	0	0	46	6012177254	7513652479	NA	3671	50948	2750	NA	NA	4508314533	2865	NA	0	NA	1	NA	NA
1920	1940	2146959360	10	3276	3	3	3349.99	0	0	46	6011232654	7728401181	NA	3564	50512	2729	NA	NA	4508325040	2726	NA	0	NA	0	NA	NA
1920	1944	2146959360	10	3276	3	4	3349.92	0	0	47	6011315273	7942860582	NA	3586	50951	2869	NA	NA	4508322480	2888	NA	0	NA	1	NA	NA
1920	1948	2146959360	10	3276	3	5	3349.87	0	0	47	6011260222	8157560609	NA	3619	51063	2708	NA	NA	4508361231	2720	NA	0	NA	0	NA	NA
1920	1952	2146959360	10	3276	3	6	3350.28	0	0	46	6012016627	8372361304	NA	3570	50473	2759	NA	NA	4723055036	2854	NA	3	NA	10	NA	NA
1920	1956	2146959360	10	3276	3	7	3349.95	0	0	46	6011443004	8587064175	NA	3563	50302	2937	NA	NA	4723042748	2828	NA	0	NA	0	NA	NA
1920	1960	2146959360	10	3276	3	8	3350.46	0	0	46	6012226109	8801751873	NA	3750	51413	2832	NA	NA	4723226746	2753	NA	0	NA	0	NA	NA
1924	1932	2146959360	10	3276	4	0	2991.18	0	0	47	5367928566	7084146496	NA	3602	51168	2748	NA	NA	4293699592	2823	NA	0	NA	3	NA	NA
1924	1936	2146959360	10	3276	4	1	3351.11	0	0	47	6012956965	7298456401	NA	3892	51013	2759	NA	NA	4508031180	2778	NA	0	NA	1	NA	NA
1924	1940	2146959360	10	3276	4	2	3349.96	0	0	47	6011407629	7513689141	NA	3659	50577	2957	NA	NA	4508367216	2855	NA	0	NA	0	NA	NA
1924	1944	2146959360	10	3276	4	3	3349.97	0	0	46	6011914296	7728263520	NA	3735	50889	2840	NA	NA	4508342087	2711	NA	0	NA	1	NA	NA
1924	1948	2146959360	10	3276	4	4	3349.86	0	0	46	6011990727	7942913327	NA	3662	51288	2932	NA	NA	4508306790	2680	NA	0	NA	0	NA	NA
1924	1952	2146959360	10	3276	4	5	3350.01	0	0	46	6011475734	8157795864	NA	3604	50995	2753	NA	NA	4722967951	2870	NA	0	NA	0	NA	NA
1924	1956	2146959360	10	3276	4	6	3349.90	0	0	46	6012008742	8372360463	NA	3583	50999	2714	NA	NA	4723061772	2749	NA	0	NA	0	NA	NA
1924	1960	2146959360	10	3276	4	7	3350.11	0	0	46	6011964405	8586925470	NA	3539	50604	2786	NA	NA	4722974782	2838	NA	0	NA	3	NA	NA
1924	1964	2146959360	10	3276	4	8	3350.16	0	0	46	6011259803	8801609368	NA	3699	50814	2708	NA	NA	4723198457	1992	NA	2	NA	169	NA	NA
1928	1936	2146959360	10	3276	5	0	3232.18	0	0	46	5797750417	7084389285	NA	3546	50554	2738	NA	NA	2576650768	2016	NA	0	NA	173	NA	NA
1928	1940	2146959360	10	3276	5	1	3231.25	0	0	47	5796863285	7299055503	NA	3658	51153	2446	NA	NA	2576539387	2831	NA	211	NA	177	NA	NA
1928	1944	2146959360	10	3276	5	2	3231.82	0	0	48	5797144866	7513328163	NA	3790	50894	2708	NA	NA	2576483462	2058	NA	212	NA	172	NA	NA
1928	1948	2146959360	10	3276	5	3	3231.58	0	0	46	5796653734	7727889241	NA	3662	51079	2836	NA	NA	2576667097	2029	NA	230	NA	162	NA	NA
1928	1952	2146959360	10	3276	5	4	3231.44	0	0	46	5796706154	7942689092	NA	3708	51106	2766	NA	NA	2791274097	1966	NA	226	NA	165	NA	NA
1928	1956	2146959360	10	3276	5	5	3231.65	0	0	46	5796863362	8157455782	NA	3499	50867	2955	NA	NA	2791266933	1952	NA	220	NA	161	NA	NA
1928	1960	2146959360	10	3276	5	6	3231.59	0	0	46	5796685131	8371970090	NA	3602	50686	2577	NA	NA	2791332378	2316	NA	223	NA	168	NA	NA
1928	1964	2146959360	10	3276	5	7	3231.15	0	0	46	5796910381	8586929727	NA	3597	50913	2972	NA	NA	2791222571	1982	NA	212	NA	153	NA	NA
1928	1968	2146959360	10	3276	5	8	3353.34	0	0	47	6011428968	8803820721	NA	3775	50626	2805	NA	NA	3005804672	3005	NA	21	NA	118	NA	NA
1932	1940	2146959360	10	3276	6	0	3110.75	0	0	46	5582753266	7084196560	NA	3412	46655	2878	NA	NA	2361545525	2784	NA	229	NA	177	NA	NA
1932	1944	2146959360	10	3276	6	1	3110.65	0	0	47	5581936914	7298865749	NA	3295	46720	2723	NA	NA	2361544714	2808	NA	220	NA	160	NA	NA
1932	1948	2146959360	10	3276	6	2	3111.02	0	0	47	5581840851	7513532447	NA	3336	46720	2768	NA	NA	2361618854	2771	NA	213	NA	151	NA	NA
1932	1952	2146959360	10	3276	6	3	3110.81	0	0	46	5583403410	7728301354	NA	3186	46944	2935	NA	NA	2576174617	2696	NA	212	NA	159	NA	NA
1932	1956	2146959360	10	3276	6	4	3110.76	0	0	48	5581994787	7943924457	NA	3241	51187	3132	NA	NA	2576203903	2876	NA	213	NA	151	NA	NA
1932	1960	2146959360	10	3276	6	5	3110.82	0	0	47	5581942363	8157432674	NA	3068	46626	2891	NA	NA	2576231770	2781	NA	197	NA	172	NA	NA
1932	1964	2146959360	10	3276	6	6	3110.66	0	0	46	5582321280	8372345902	NA	3179	46955	2760	NA	NA	2576195627	2774	NA	223	NA	159	NA	NA
1932	1968	2146959360	10	3276	6	7	3230.31	0	0	47	5796717909	8586804852	NA	3518	50807	2780	NA	NA	2791256818	2015	NA	227	NA	153	NA	NA
1932	1972	2146959360	10	3276	6	8	3231.68	0	0	46	5797394362	8801769576	NA	3706	50862	2829	NA	NA	2791023099	1974	NA	221	NA	162	NA	NA
1936	1944	2146959360	10	3276	7	0	2991.66	0	0	46	5367151492	7084152343	NA	3708	51266	2982	NA	NA	4293683690	1964	NA	0	NA	181	NA	NA
1936	1948	2146959360	10	3276	7	1	2991.19	0	0	47	5368154775	7298900633	NA	3601	50815	2771	NA	NA	4293585231	2744	NA	0	NA	3	NA	NA
1936	1952	2146959360	10	3276	7	2	3351.10	0	0	46	6012253289	7513134817	NA	3733	50858	2792	NA	NA	4508097658	2717	NA	0	NA	0	NA	NA
1936	1956	2146959360	10	3276	7	3	3350.05	0	0	46	6013028842	7728384269	NA	3623	50888	2819	NA	NA	4508286619	2821	NA	0	NA	0	NA	NA
1936	1960	2146959360	10	3276	7	4	3349.82	0	0	47	6011478636	7942947467	NA	3690	50752	2779	NA	NA	4508270225	2814	NA	0	NA	0	NA	NA
1936	1964	2146959360	10	3276	7	5	3349.95	0	0	46	6011239973	8157650524	NA	3644	50862	2848	NA	NA	4508315278	2747	NA	0	NA	0	NA	NA
1936	1968	2146959360	10	3276	7	6	3349.78	0	0	46	6012909230	8372268584	NA	3721	50789	2781	NA	NA	4722980206	2829	NA	0	NA	0	NA	NA
1936	1972	2146959360	10	3276	7	7	3350.00	0	0	46	6012011539	8586877504	NA	3567	50854	2782	NA	NA	4722988423	2840	NA	0	NA	6	NA	NA
